name,ring,quadrant,isNew,description
3NF,Adopt,techniques,FALSE,
ETL/ELT,Adopt,techniques,FALSE,
MPP,Adopt,techniques,FALSE,
Data Warehouse,Adopt,techniques,FALSE,
Data Lake,Adopt,techniques,FALSE,
Data Vault,Adopt,techniques,FALSE,
DataOps,Adopt,techniques,FALSE,
Data Governance,Adopt,techniques,FALSE,
Business Glossary,Adopt,techniques,FALSE,
Data lineage,Adopt,techniques,FALSE,
Data Catalog,Adopt,techniques,FALSE,
Azure Cloud,Adopt,platforms,FALSE,
Amazon Web Services,Trial,platforms,FALSE,
Teradata,Adopt,tools,FALSE,
Oracle Exadata,Adopt,tools,FALSE,
MSSQL,Adopt,tools,FALSE,
PostgreSQL,Adopt,tools,FALSE,
Hadoop,Adopt,tools,FALSE,
S3,Adopt,tools,FALSE,
Redshift,Adopt,tools,FALSE,
Python,Adopt,languages & frameworks,FALSE,
SQL,Adopt,languages & frameworks,FALSE,
Informatica PC / DEI,Adopt,languages & frameworks,FALSE,
GoldenGate,Adopt,languages & frameworks,FALSE,
SAP PowerDesigner,Adopt,languages & frameworks,FALSE,
Gitlab CI\CD,Adopt,languages & frameworks,FALSE,
